First Image Number,First Object Number,Second Image Number,Second Object Number,Center_X_First,Center_Y_First,Center_X_Second,Center_Y_Second,Distance,Speed_per_Hour,Acceleration
65,13,66,16,472.0,153.14417177914112,472.0263157894737,143.69298245614036,9.451225959629745,9.451225959629745,2.8211322527648655
65,13,66,18,472.0,153.14417177914112,476.0672514619883,159.66081871345028,7.6817460073532065,7.6817460073532065,-1.769479952276539
66,13,67,16,868.7601351351351,120.75337837837836,867.8251748251748,116.02797202797204,4.817013178065984,4.817013178065984,-2.864732829287222
67,13,68,10,958.0,89.19242424242424,940.202,92.376,18.080485574348497,18.080485574348497,13.263472396282513
68,13,69,14,864.507299270073,119.03649635036496,862.8967741935484,119.0,1.6109385480844747,1.6109385480844747,-16.469547026264024
70,13,71,6,526.1279069767442,69.59302325581395,536.7931034482758,48.940613026819925,23.24367578596441,23.24367578596441,21.632737237879937
71,13,72,14,1056.68,116.974,1058.656862745098,121.37843137254902,4.827732597032454,4.827732597032454,-18.415943188931955
72,13,73,13,864.8384401114206,119.27019498607244,857.1206434316354,118.05361930294906,7.813094264327749,7.813094264327749,2.9853616672952947
73,13,74,12,857.1206434316354,118.05361930294906,857.5441176470588,115.50588235294116,2.582691227685581,2.582691227685581,-5.230403036642167
75,13,76,14,856.4254278728606,111.40097799511004,858.3741007194244,113.36690647482014,2.76806803570113,2.76806803570113,0.1853768080155489
76,13,77,12,467.7543604651163,114.98691860465117,466.1040268456376,115.9496644295302,1.9106230865620075,1.9106230865620075,-0.8574449491391225
76,13,77,13,467.7543604651163,114.98691860465117,484.1155555555556,118.77777777777776,16.79462170035078,16.79462170035078,14.883998613788773
77,13,78,11,484.1155555555556,118.77777777777776,474.5536842105264,117.69052631578948,9.62348686082577,9.62348686082577,-7.171134839525012
78,13,79,14,912.0,130.4002789400279,921.975,124.6375,11.519993320815319,11.519993320815319,1.8965064599895491
78,13,79,17,912.0,130.4002789400279,902.4546850998464,137.98924731182797,12.194485536146072,12.194485536146072,0.6744922153307531
79,13,80,15,493.5670731707317,124.47560975609755,501.8071942446043,132.5841726618705,11.560639589095256,11.560639589095256,-0.6338459470508155
80,13,81,11,1114.232608695652,115.6108695652174,1110.971590909091,109.95454545454544,6.529030513731469,6.529030513731469,-5.031609075363788
81,13,82,14,1068.3372093023256,120.765503875969,1067.4080338266383,123.65327695560254,3.0335788145480724,3.0335788145480724,-3.495451699183396
82,13,83,13,1126.181571815718,115.7859078590786,1147.3774250440918,127.7010582010582,24.315324422074692,24.315324422074692,21.28174560752662
84,13,85,13,577.6183745583039,144.40282685512366,576.1543624161073,146.46979865771812,2.5329239991005523,2.5329239991005523,-21.78240042297414
85,13,86,18,576.1543624161073,146.46979865771812,578.0727848101266,147.6139240506329,2.2336891897904776,2.2336891897904776,-0.29923480931007473
86,13,87,13,1106.261261261261,115.37837837837836,1117.8315789473684,116.77543859649124,11.654356636489222,11.654356636489222,9.420667446698744
87,13,88,15,1117.8315789473684,116.77543859649124,1111.3125,112.46428571428572,7.815652851539049,7.815652851539049,-3.838703784950173
89,13,90,16,1111.549019607843,116.03921568627452,1111.1025641025642,114.62564102564104,1.4824020505176272,1.4824020505176272,-6.333250801021422
91,13,92,9,979.0238095238096,75.24603174603175,986.4757709251102,68.15418502202643,10.287177391454765,10.287177391454765,8.804775340937137
92,13,93,17,875.4745762711865,102.94237288135594,877.9359430604982,106.58007117437722,4.39217205293423,4.39217205293423,-5.895005338520535
2,14,3,34,718.9141630901288,71.20600858369099,723.0440985732814,66.09987029831387,6.567268479695117,6.567268479695117,
